epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0175,1.63855,2.91663,1.68019,0.37643,0.48514,0.42516,0.23224,1.67668,2.1149,1.92796,0.00329004,0.00329004,0.0703896
2,68.5412,1.55255,1.93836,1.50236,0.57235,0.54893,0.51689,0.30189,1.62331,2.05112,1.73874,0.00655781,0.00655781,0.040324
3,102.082,1.56897,2.03275,1.51301,0.52845,0.37059,0.36107,0.18008,1.77394,4.36907,2.12403,0.00975957,0.00975957,0.0101925
4,135.299,1.58543,1.86483,1.47902,0.33164,0.53587,0.36869,0.17819,2.05936,2.85084,2.31027,0.009703,0.009703,0.009703
5,168.514,1.56582,1.59364,1.44612,0.62214,0.54024,0.58162,0.29721,1.7033,1.68104,1.8487,0.009604,0.009604,0.009604
6,201.719,1.60156,1.52541,1.46812,0.51034,0.63302,0.58932,0.31726,1.72031,1.5368,1.89986,0.009505,0.009505,0.009505
7,234.94,1.55682,1.49425,1.46484,0.65647,0.62335,0.68827,0.33699,1.74382,1.58547,1.89771,0.009406,0.009406,0.009406
8,268.242,1.59724,1.49456,1.47135,0.64911,0.5345,0.56763,0.318,1.74384,1.88777,1.90139,0.009307,0.009307,0.009307
9,301.395,1.55737,1.37788,1.47346,0.48639,0.69805,0.58145,0.32946,1.74334,1.56843,1.89223,0.009208,0.009208,0.009208
10,334.563,1.53331,1.37293,1.46927,0.58053,0.65504,0.62744,0.32838,1.81629,1.62402,2.05205,0.009109,0.009109,0.009109
11,367.852,1.53821,1.3623,1.48565,0.55019,0.52363,0.56833,0.29951,1.74243,1.67662,1.91329,0.00901,0.00901,0.00901
12,401.169,1.55255,1.36705,1.45317,0.55963,0.69852,0.65594,0.37016,1.65363,1.636,1.78166,0.008911,0.008911,0.008911
13,434.453,1.51843,1.25918,1.44594,0.66276,0.73831,0.69997,0.38117,1.66236,1.3624,1.79386,0.008812,0.008812,0.008812
14,467.71,1.50666,1.28622,1.44509,0.58921,0.58346,0.61676,0.30963,1.82524,1.53253,1.96042,0.008713,0.008713,0.008713
15,500.972,1.48058,1.22502,1.42399,0.60333,0.74052,0.64105,0.35085,1.72209,1.40335,1.85483,0.008614,0.008614,0.008614
16,534.35,1.45925,1.2151,1.40704,0.65366,0.65883,0.65451,0.35366,1.73782,1.32657,1.87677,0.008515,0.008515,0.008515
17,567.546,1.48467,1.21545,1.43949,0.64908,0.68052,0.67565,0.38118,1.71446,1.36456,1.83364,0.008416,0.008416,0.008416
18,600.812,1.47885,1.19026,1.41853,0.63138,0.62441,0.61033,0.33157,1.74898,1.54649,1.89487,0.008317,0.008317,0.008317
19,634.05,1.45369,1.16823,1.41091,0.57235,0.62212,0.60693,0.35091,1.8979,1.59223,1.98211,0.008218,0.008218,0.008218
20,667.157,1.45487,1.13929,1.43295,0.74235,0.62049,0.65317,0.35586,1.7226,1.50599,1.85227,0.008119,0.008119,0.008119
21,700.306,1.41839,1.07087,1.39357,0.71202,0.68072,0.67456,0.3861,1.70349,1.26118,1.82582,0.00802,0.00802,0.00802
